Item 1,低度酒
Item 2,高度酒
Item 3,红葡萄酒
Item 4,白葡萄酒
Item 5,香槟酒
Item 6,加饭酒
Item 7,黄酒
Item 8,黑米酒
Item 9,其它米酒
Item 10,洋酒
Item 11,滋补酒
Item 12,补虚保健品
Item 13,补血保健品
Item 14,调理类保健品
Item 15,抗疲劳保健品
Item 16,补钙保健品
Item 17,各种常见病药品
Item 18,即溶咖啡
Item 19,二合一咖啡
Item 20,咖啡奶末
Item 21,煮咖啡
Item 22,奶茶
Item 23,营养冲剂
Item 24,凉茶
Item 25,蜂蜜
Item 26,蜂制品
Item 27,中国茶
Item 28,袋泡茶
Item 29,外购面包
Item 30,袋装
Item 31,礼盒装
Item 32,婴儿食品
Item 33,冲调食品
Item 34,营养品
Item 35,果酱
Item 36,花生酱
Item 37,中老年奶粉
Item 38,孕妇奶粉
Item 39,高钙奶粉
Item 40,低脂奶粉
Item 41,全脂奶粉
Item 42,脱脂奶粉
Item 43,婴儿奶粉
Item 44,儿童奶粉
Item 45,婴儿米粉
Item 46,瓶装果汁
Item 47,听装果汁
Item 48,瓶装碳酸
Item 49,听装碳酸
Item 50,保健饮料
Item 51,运动饮料
Item 52,矿泉水
Item 53,纯净水
Item 54,蒸馏水
Item 55,乌龙茶
Item 56,红茶
Item 57,绿茶
Item 58,花茶
Item 59,清凉茶
Item 60,纯奶
Item 61,甜奶
Item 62,酸奶
Item 63,听装啤酒
Item 64,瓶装啤酒
Item 65,曲奇
Item 66,蛋卷
Item 67,威化
Item 68,糕点
Item 69,苏打饼
Item 70,咸脆饼
Item 71,盒装
Item 72,包装
Item 73,硬糖
Item 74,软糖
Item 75,泡泡糖
Item 76,奶糖
Item 77,酥糖
Item 78,口香糖
Item 79,进口巧克力
Item 80,国产巧克力
Item 81,凉果
Item 82,各种果脯
Item 83,黑瓜子
Item 84,红瓜子
Item 85,南瓜子
Item 86,葵瓜子
Item 87,开心果
Item 88,核桃
Item 89,香脆豆
Item 90,花生果
Item 91,杏仁
Item 92,松子
Item 93,肉脯
Item 94,肉干
Item 95,肉松
Item 96,肉肠类
Item 97,鱼片
